stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding                                                                                               ,download_date
05243,Muros del Nalón,43.5429728,-6.1110718,2                                                                                                         ,2026-07-10
05244,El Pito Piñera,43.5469091,-6.1433417,2                                                                                                          ,2026-07-10
05245,Cudillero,43.5509259,-6.1519305,2                                                                                                               ,2026-07-10
05247,Villademar,43.557065,-6.155477,2                                                                                                                ,2026-07-10
05249,La Magdalena,43.559309,-6.184922,2                                                                                                              ,2026-07-10
05251,San Martín de Luiña,43.5447530,-6.2287020,2                                                                                                     ,2026-07-10
05253,San Cosme,43.544069,-6.248091,2                                                                                                                 ,2026-07-10
05255,Soto de Luiña,43.559635,-6.234369,2                                                                                                             ,2026-07-10
05257,Valdredo,43.56638,-6.263234,2                                                                                                                   ,2026-07-10
05259,Novellana,43.557795,-6.289593,2                                                                                                                 ,2026-07-10
05261,Santa Marina,43.552674,-6.305181,2                                                                                                              ,2026-07-10
05263,Ballota,43.5507160,-6.3228120,2                                                                                                                 ,2026-07-10
05265,Tablizo,43.5472530,-6.3512250,2                                                                                                                 ,2026-07-10
05267,Cadavedo,43.542952,-6.391612,2                                                                                                                  ,2026-07-10
05269,San Cristóbal,43.547225,-6.415264,2                                                                                                             ,2026-07-10
05271,Canero,43.541913,-6.445878,2                                                                                                                    ,2026-07-10
05273,Barcia,43.546813,-6.50828,2                                                                                                                     ,2026-07-10
05275,Luarca,43.537949,-6.536617,2                                                                                                                    ,2026-07-10
05277,Otur,43.540541,-6.593562,2                                                                                                                      ,2026-07-10
05279,Villapedre,43.546723,-6.64587,2                                                                                                                 ,2026-07-10
05281,Piñera-Villaoril,43.535685,-6.685414,2                                                                                                          ,2026-07-10
05283,Navia,43.536802,-6.719425,2                                                                                                                     ,2026-07-10
05285,Medal,43.545692,-6.752994,2                                                                                                                     ,2026-07-10
05287,Loza,43.551254,-6.771675,2                                                                                                                      ,2026-07-10
05289,Cartavio,43.550714,-6.789622,2                                                                                                                  ,2026-07-10
05291,La Caridad,43.547074,-6.827541,2                                                                                                                ,2026-07-10
05293,Tapia,43.535026,-6.909329,2                                                                                                                     ,2026-07-10
05295,Tol,43.527204,-6.952128,2                                                                                                                       ,2026-07-10
05297,Las Campas de Castropol,43.5202979,-6.9771022,2                                                                                                 ,2026-07-10
05299,Castropol,43.5095861,-7.0147697,2                                                                                                               ,2026-07-10
05300,Vallobín,43.3652306,-5.8647984,2                                                                                                                ,2026-07-10
05301,Argañosa-Lavapiés,43.3658311,-5.8700180,2                                                                                                       ,2026-07-10
05302,Las Campas,43.3638889,-5.8833728,2                                                                                                              ,2026-07-10
05303,Las Mazas,43.3587192,-5.8975568,2                                                                                                               ,2026-07-10
05304,San Claudio,43.3553535,-5.9178091,2                                                                                                             ,2026-07-10
