route_id,route_short_name,route_long_name,route_type,route_color,route_text_color                                                                     ,download_date
10T0054C7  ,C7  ,Atocha                                  -Principe Pio                            ,2,F3972A,FFFFFF                                    ,2025-04-06
10T0057C7  ,C7  ,Principe Pio                            -Pinar de las Rozas                      ,2,F3972A,FFFFFF                                    ,2025-04-06
10T0058C7  ,C7  ,Pinar de las Rozas                      -Principe Pio                            ,2,F3972A,FFFFFF                                    ,2025-04-06
10T0059C7  ,C7  ,Chamartín - Clara Campoamor             -Alcala de Henares                       ,2,F3972A,FFFFFF                                    ,2025-04-06
10T0060C7  ,C7  ,Alcala de Henares                       -Chamartín - Clara Campoamor             ,2,F3972A,FFFFFF                                    ,2025-04-06
10T0061C8  ,C8  ,El Escorial                             -Chamartín - Clara Campoamor             ,2,706D75,FFFFFF                                    ,2025-04-06
10T0062C8  ,C8  ,Chamartín - Clara Campoamor             -El Escorial                             ,2,706D75,FFFFFF                                    ,2025-04-06
10T0063C10 ,C10 ,El Escorial                             -Principe Pio                            ,2,9CC83E,FFFFFF                                    ,2025-04-06
10T0064C10 ,C10 ,Principe Pio                            -El Escorial                             ,2,9CC83E,FFFFFF                                    ,2025-04-06
10T0065C1  ,C1  ,Atocha                                  -Chamartín - Clara Campoamor             ,2,75B6E0,FFFFFF                                    ,2025-04-06
10T0066C1  ,C1  ,Chamartín - Clara Campoamor             -Atocha                                  ,2,75B6E0,FFFFFF                                    ,2025-04-06
10T0067C4  ,C4  ,Atocha                                  -Villaverde Alto                         ,2,005A9F,FFFFFF                                    ,2025-04-06
10T0068C4  ,C4  ,Villaverde Alto                         -Atocha                                  ,2,005A9F,FFFFFF                                    ,2025-04-06
10T0069C8  ,C8  ,Las Matas                               -Villalba                                ,2,706D75,FFFFFF                                    ,2025-04-06
10T0070C8  ,C8  ,Villalba                                -Las Matas                               ,2,706D75,FFFFFF                                    ,2025-04-06
10T0071C10 ,C10 ,Pozuelo                                 -Pitis                                   ,2,9CC83E,FFFFFF                                    ,2025-04-06
10T0072C10 ,C10 ,Pitis                                   -Pozuelo                                 ,2,9CC83E,FFFFFF                                    ,2025-04-06
10T0073C7  ,C7  ,Guadalajara                             -Pozuelo                                 ,2,F3972A,FFFFFF                                    ,2025-04-06
10T0074C7  ,C7  ,Pozuelo                                 -Guadalajara                             ,2,F3972A,FFFFFF                                    ,2025-04-06
10T0075C10 ,C10 ,Torrelodones                            -Chamartín - Clara Campoamor             ,2,9CC83E,FFFFFF                                    ,2025-04-06
10T0076C10 ,C10 ,Chamartín - Clara Campoamor             -Torrelodones                            ,2,9CC83E,FFFFFF                                    ,2025-04-06
10T0077C10 ,C10 ,Las Matas                               -Atocha                                  ,2,9CC83E,FFFFFF                                    ,2025-04-06
10T0078C10 ,C10 ,Atocha                                  -Las Matas                               ,2,9CC83E,FFFFFF                                    ,2025-04-06
10T0079C7  ,C7  ,Pitis                                   -Nuevos Ministerios                      ,2,F3972A,FFFFFF                                    ,2025-04-06
10T0080C7  ,C7  ,Nuevos Ministerios                      -Pitis                                   ,2,F3972A,FFFFFF                                    ,2025-04-06
10T0081C2  ,C2  ,Guadalajara                             -                                        ,2,0F8C2E,FFFFFF                                    ,2025-04-06
10T0082C2  ,C2  ,                                        -Guadalajara                             ,2,0F8C2E,FFFFFF                                    ,2025-04-06
10T0083C2  ,C2  ,Guadalajara                             -                                        ,2,0F8C2E,FFFFFF                                    ,2025-04-06
10T0084C2  ,C2  ,                                        -Guadalajara                             ,2,0F8C2E,FFFFFF                                    ,2025-04-06
20T0001C1  ,C1  ,Gijon (Sanz Crespo)                     -Puente L.Fierros                        ,2,EC3541,FFFFFF                                    ,2025-04-06
20T0002C1  ,C1  ,Puente L.Fierros                        -Gijon (Sanz Crespo)                     ,2,EC3541,FFFFFF                                    ,2025-04-06
20T0003C2  ,C2  ,Oviedo                                  -El Entrego                              ,2,009746,FFFFFF                                    ,2025-04-06
20T0004C2  ,C2  ,El Entrego                              -Oviedo                                  ,2,009746,FFFFFF                                    ,2025-04-06
20T0005C3  ,C3  ,Llamaquique                             -San Juan de Nieva                       ,2,025FC6,FFFFFF                                    ,2025-04-06
20T0006C3  ,C3  ,San Juan de Nieva                       -Llamaquique                             ,2,025FC6,FFFFFF                                    ,2025-04-06
20T0007C2  ,C2  ,Gijon (Sanz Crespo)                     -                                        ,2,009746,FFFFFF                                    ,2025-04-06
20T0008C2  ,C2  ,                                        -Gijon (Sanz Crespo)                     ,2,009746,FFFFFF                                    ,2025-04-06
20T0009C4  ,C4  ,Gijon (Sanz Crespo)                     -Cudillero                               ,2,8E2182,FFFFFF                                    ,2025-04-06
20T0010C4  ,C4  ,Cudillero                               -Gijon (Sanz Crespo)                     ,2,8E2182,FFFFFF                                    ,2025-04-06
20T0011C5  ,C5  ,Gijon (Sanz Crespo)                     -La Pola De Llaviana/Pola De Laviana     ,2,BFD34D,FFFFFF                                    ,2025-04-06
20T0012C5  ,C5  ,La Pola De Llaviana/Pola De Laviana     -Gijon (Sanz Crespo)                     ,2,BFD34D,FFFFFF                                    ,2025-04-06
20T0013C5a ,C5a ,El Berrón                               -Oviedo                                  ,2,BFD34D,FFFFFF                                    ,2025-04-06
