service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date                                                               ,download_date
2056V,0,0,0,0,1,0,0,20250815,20250815                                                                                                                 ,2025-08-03
2057S,0,0,0,0,0,1,0,20250816,20250816                                                                                                                 ,2025-08-03
2058D,0,0,0,0,0,0,1,20250817,20250817                                                                                                                 ,2025-08-03
2059L,1,0,0,0,0,0,0,20250818,20250818                                                                                                                 ,2025-08-03
2060M,0,1,0,0,0,0,0,20250819,20250819                                                                                                                 ,2025-08-03
2061X,0,0,1,0,0,0,0,20250820,20250820                                                                                                                 ,2025-08-03
2062J,0,0,0,1,0,0,0,20250821,20250821                                                                                                                 ,2025-08-03
2063V,0,0,0,0,1,0,0,20250822,20250822                                                                                                                 ,2025-08-03
2064S,0,0,0,0,0,1,0,20250823,20250823                                                                                                                 ,2025-08-03
2065D,0,0,0,0,0,0,1,20250824,20250824                                                                                                                 ,2025-08-03
2066L,1,0,0,0,0,0,0,20250825,20250825                                                                                                                 ,2025-08-03
2067M,0,1,0,0,0,0,0,20250826,20250826                                                                                                                 ,2025-08-03
2068X,0,0,1,0,0,0,0,20250827,20250827                                                                                                                 ,2025-08-03
2069J,0,0,0,1,0,0,0,20250828,20250828                                                                                                                 ,2025-08-03
2070V,0,0,0,0,1,0,0,20250829,20250829                                                                                                                 ,2025-08-03
2071S,0,0,0,0,0,1,0,20250830,20250830                                                                                                                 ,2025-08-03
3042V,0,0,0,0,1,0,0,20250801,20250801                                                                                                                 ,2025-08-03
3043S,0,0,0,0,0,1,0,20250802,20250802                                                                                                                 ,2025-08-03
3044D,0,0,0,0,0,0,1,20250803,20250803                                                                                                                 ,2025-08-03
3045L,1,0,0,0,0,0,0,20250804,20250804                                                                                                                 ,2025-08-03
3046M,0,1,0,0,0,0,0,20250805,20250805                                                                                                                 ,2025-08-03
3047X,0,0,1,0,0,0,0,20250806,20250806                                                                                                                 ,2025-08-03
3048J,0,0,0,1,0,0,0,20250807,20250807                                                                                                                 ,2025-08-03
3049V,0,0,0,0,1,0,0,20250808,20250808                                                                                                                 ,2025-08-03
3050S,0,0,0,0,0,1,0,20250809,20250809                                                                                                                 ,2025-08-03
3051D,0,0,0,0,0,0,1,20250810,20250810                                                                                                                 ,2025-08-03
3052L,1,0,0,0,0,0,0,20250811,20250811                                                                                                                 ,2025-08-03
3053M,0,1,0,0,0,0,0,20250812,20250812                                                                                                                 ,2025-08-03
3054X,0,0,1,0,0,0,0,20250813,20250813                                                                                                                 ,2025-08-03
3055J,0,0,0,1,0,0,0,20250814,20250814                                                                                                                 ,2025-08-03
3056V,0,0,0,0,1,0,0,20250815,20250815                                                                                                                 ,2025-08-03
3057S,0,0,0,0,0,1,0,20250816,20250816                                                                                                                 ,2025-08-03
3058D,0,0,0,0,0,0,1,20250817,20250817                                                                                                                 ,2025-08-03
3059L,1,0,0,0,0,0,0,20250818,20250818                                                                                                                 ,2025-08-03
3060M,0,1,0,0,0,0,0,20250819,20250819                                                                                                                 ,2025-08-03
3061X,0,0,1,0,0,0,0,20250820,20250820                                                                                                                 ,2025-08-03
3062J,0,0,0,1,0,0,0,20250821,20250821                                                                                                                 ,2025-08-03
3063V,0,0,0,0,1,0,0,20250822,20250822                                                                                                                 ,2025-08-03
3064S,0,0,0,0,0,1,0,20250823,20250823                                                                                                                 ,2025-08-03
3065D,0,0,0,0,0,0,1,20250824,20250824                                                                                                                 ,2025-08-03
3066L,1,0,0,0,0,0,0,20250825,20250825                                                                                                                 ,2025-08-03
3067M,0,1,0,0,0,0,0,20250826,20250826                                                                                                                 ,2025-08-03
3068X,0,0,1,0,0,0,0,20250827,20250827                                                                                                                 ,2025-08-03
3069J,0,0,0,1,0,0,0,20250828,20250828                                                                                                                 ,2025-08-03
3070V,0,0,0,0,1,0,0,20250829,20250829                                                                                                                 ,2025-08-03
3071S,0,0,0,0,0,1,0,20250830,20250830                                                                                                                 ,2025-08-03
3142V,0,0,0,0,1,0,0,20250801,20250801                                                                                                                 ,2025-08-03
3143S,0,0,0,0,0,1,0,20250802,20250802                                                                                                                 ,2025-08-03
3144D,0,0,0,0,0,0,1,20250803,20250803                                                                                                                 ,2025-08-03
3145L,1,0,0,0,0,0,0,20250804,20250804                                                                                                                 ,2025-08-03
3146M,0,1,0,0,0,0,0,20250805,20250805                                                                                                                 ,2025-08-03
3147X,0,0,1,0,0,0,0,20250806,20250806                                                                                                                 ,2025-08-03
3148J,0,0,0,1,0,0,0,20250807,20250807                                                                                                                 ,2025-08-03
3149V,0,0,0,0,1,0,0,20250808,20250808                                                                                                                 ,2025-08-03
3150S,0,0,0,0,0,1,0,20250809,20250809                                                                                                                 ,2025-08-03
3151D,0,0,0,0,0,0,1,20250810,20250810                                                                                                                 ,2025-08-03
